model,epoch,visibility,mask_mAP50_95,mask_recall
YOLO26x,60,Multi,0.0,0.0
YOLO26x,70,100%,0.6622316094866264,0.8111111111111111
YOLO26x,70,25%,0.3979411261934047,0.6738607346005855
YOLO26x,70,50%,0.5169812295081735,0.7669571205561064
YOLO26x,70,75%,0.5582403844492513,0.7581018518518517
YOLO26x,70,Multi,0.0,0.0
YOLO26x,80,100%,0.7207491735515513,1.0
YOLO26x,80,25%,0.422908836834449,0.7689486700836575
YOLO26x,80,50%,0.52582507262846,0.7245425680841938
YOLO26x,80,75%,0.5962363414703,0.8271523402884516
YOLO26x,80,Multi,0.0,0.0
YOLO26x,90,100%,0.6682619552966469,0.7728814505229067
YOLO26x,90,25%,0.3873804185183358,0.6722830463886549
YOLO26x,90,50%,0.5066167262401116,0.7001238945102819
YOLO26x,90,75%,0.5711626639396922,0.7210648148148149
YOLO26x,90,Multi,0.0,0.0
