epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5985,1.35919,2.18728,8.69984,0.00552,8.92007,0.29753,0.37445,0.32182,0.23333,0.28935,0.37172,0.31894,0.22139,1.19845,1.84069,2.34406,0.00648,0,0.000331155,0.000331155,0.000331155
2,117.769,1.4056,1.96619,3.1389,0.00554,3.17622,0.46237,0.54517,0.47777,0.32044,0.46245,0.54579,0.47583,0.31592,1.263,1.75314,1.77479,0.00709,0,0.00065791,0.00065791,0.00065791
3,176.526,1.48792,1.88906,2.14696,0.00611,2.08116,0.44991,0.57581,0.48344,0.32051,0.44188,0.57337,0.47424,0.31993,1.34788,1.71207,1.7065,0.0076,0,0.000978064,0.000978064,0.000978064
4,237.229,1.496,1.82127,1.85575,0.00617,1.2581,0.45829,0.54633,0.48476,0.31766,0.45829,0.54633,0.4782,0.3324,1.33867,1.7232,2.17976,0.00802,0,0.0009703,0.0009703,0.0009703
5,298.565,1.37796,1.74836,1.67445,0.00572,0.83219,0.52457,0.62548,0.56741,0.39518,0.5256,0.61185,0.56104,0.383,1.26116,1.5893,1.41387,0.00747,0,0.0009604,0.0009604,0.0009604
6,361.275,1.39969,1.72383,1.62635,0.00591,0.77014,0.53853,0.57536,0.55265,0.37194,0.53325,0.55819,0.54039,0.351,1.27237,1.51759,1.54952,0.00777,0,0.0009505,0.0009505,0.0009505
7,424.45,1.34799,1.63976,1.54195,0.00561,0.76231,0.54489,0.6424,0.59285,0.42354,0.5648,0.62695,0.58959,0.40469,1.18617,1.48227,1.27187,0.00673,0,0.0009406,0.0009406,0.0009406
8,487.843,1.36392,1.70283,1.46514,0.00564,0.7065,0.51379,0.68567,0.58447,0.40572,0.50844,0.69004,0.57953,0.39304,1.18457,1.48376,1.2933,0.00685,0,0.0009307,0.0009307,0.0009307
9,549.924,1.30642,1.60144,1.37131,0.0054,0.68029,0.55989,0.59621,0.58183,0.41884,0.55556,0.59343,0.57584,0.39319,1.14453,1.52296,1.27692,0.0064,0,0.0009208,0.0009208,0.0009208
10,606.763,1.28383,1.53457,1.31354,0.00522,0.6716,0.57063,0.65717,0.59953,0.43811,0.5656,0.65265,0.59678,0.41635,1.11648,1.32227,1.18172,0.00648,0,0.0009109,0.0009109,0.0009109
