epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,3632.69,0.28293,0.52262,0.2058,0.80374,0,0.9872,0.99084,0.9912,0.95416,0.9872,0.99084,0.9912,0.90217,0.32326,0.58346,0.20168,0.80786,0,0.00032424,0.00010808,0.00032424,0.00010808,0.00032424,0.00010808,0.00032424,0.00010808
91,3682.96,0.24456,0.50096,0.17822,0.78186,0,0.98888,0.98234,0.99249,0.95244,0.98888,0.98234,0.99249,0.89323,0.33068,0.61042,0.20295,0.81095,0,0.000297243,9.9081e-05,0.000297243,9.9081e-05,0.000297243,9.9081e-05,0.000297243,9.9081e-05
92,3708.41,0.24298,0.46395,0.18224,0.77734,0,0.98194,0.97056,0.99248,0.95293,0.98194,0.97056,0.99248,0.8925,0.33046,0.61779,0.2027,0.81021,0,0.000270246,9.00819e-05,0.000270246,9.00819e-05,0.000270246,9.00819e-05,0.000270246,9.00819e-05
93,3733.89,0.23695,0.45598,0.17573,0.77609,0,0.9814,0.97142,0.99227,0.95315,0.9814,0.97142,0.99227,0.89245,0.3306,0.61493,0.20813,0.80935,0,0.000243248,8.10828e-05,0.000243248,8.10828e-05,0.000243248,8.10828e-05,0.000243248,8.10828e-05
94,3759.09,0.24242,0.4677,0.1743,0.77054,0,0.98118,0.97165,0.99166,0.95547,0.98118,0.97165,0.99166,0.89026,0.32934,0.61247,0.21133,0.81034,0,0.000216251,7.20837e-05,0.000216251,7.20837e-05,0.000216251,7.20837e-05,0.000216251,7.20837e-05
95,3784.24,0.23439,0.46054,0.17426,0.7731,0,0.98054,0.97143,0.99169,0.95483,0.98054,0.97143,0.99169,0.89112,0.33212,0.61255,0.21126,0.81084,0,0.000189254,6.30846e-05,0.000189254,6.30846e-05,0.000189254,6.30846e-05,0.000189254,6.30846e-05
96,3809.45,0.23469,0.47597,0.17441,0.76955,0,0.98863,0.97325,0.99215,0.95491,0.98863,0.97325,0.99215,0.89251,0.33076,0.61265,0.21005,0.8102,0,0.000162257,5.40855e-05,0.000162257,5.40855e-05,0.000162257,5.40855e-05,0.000162257,5.40855e-05
97,3834.82,0.2361,0.46943,0.17348,0.77352,0,0.98908,0.97391,0.99206,0.95481,0.98908,0.97391,0.99206,0.89468,0.32506,0.60918,0.2067,0.80903,0,0.000135259,4.50864e-05,0.000135259,4.50864e-05,0.000135259,4.50864e-05,0.000135259,4.50864e-05
98,3859.95,0.22638,0.47636,0.16892,0.77803,0,0.98898,0.9732,0.99203,0.95402,0.98898,0.9732,0.99203,0.89743,0.32402,0.60521,0.20808,0.80926,0,0.000108262,3.60873e-05,0.000108262,3.60873e-05,0.000108262,3.60873e-05,0.000108262,3.60873e-05
99,3888.05,0.23116,0.4719,0.17392,0.78873,0,0.98899,0.97368,0.992,0.95729,0.98899,0.97368,0.992,0.90008,0.32108,0.60058,0.20664,0.80828,0,8.12646e-05,2.70882e-05,8.12646e-05,2.70882e-05,8.12646e-05,2.70882e-05,8.12646e-05,2.70882e-05
100,3914.88,0.23827,0.46037,0.17485,0.77898,0,0.98912,0.97311,0.9921,0.95792,0.98912,0.97311,0.9921,0.90019,0.32174,0.59804,0.20709,0.80825,0,5.42673e-05,1.80891e-05,5.42673e-05,1.80891e-05,5.42673e-05,1.80891e-05,5.42673e-05,1.80891e-05
